tripduration,starttime,start station id,stoptime,start station name,start station latitude,end station id,start station longitude,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
740,15:38.4,522,27:58.5,E 51 St & Lexington Ave,40.75714758,116,-73.97207836,W 17 St & 8 Ave,40.74177603,-74.00149746,36193,Subscriber,1993,1
496,16:58.4,3712,25:14.7,W 35 St & Dyer Ave,40.75469175,3687,-73.99740189,E 33 St & 1 Ave,40.74322681,-73.97449784,36622,Subscriber,1977,1
1621,21:42.3,3616,48:43.9,Steinway St & 28 Ave,40.7656251,3299,-73.9136695,E 98 St & Park Ave,40.78813,-73.95206,37420,Subscriber,1995,1
101,24:19.0,422,26:00.2,W 59 St & 10 Ave,40.770513,530,-73.988038,11 Ave & W 59 St,40.77149671,-73.99046034,36392,Subscriber,2000,1
295,32:43.5,3156,37:38.9,E 72 St & York Ave,40.76663814,3151,-73.95348296,E 81 St & York Ave,40.7728384,-73.94989233,37751,Subscriber,1997,2
1388,33:51.8,3687,57:00.7,E 33 St & 1 Ave,40.74322681,3177,-73.97449784,W 84 St & Broadway,40.7867947,-73.977112,36622,Subscriber,1986,2
448,35:02.9,493,42:31.2,W 45 St & 6 Ave,40.7568001,422,-73.98291153,W 59 St & 10 Ave,40.770513,-73.988038,37039,Subscriber,1990,1
441,39:26.8,3759,46:48.1,Irving Ave & Jefferson St,40.70538,3179,-73.92535,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,37078,Subscriber,1971,2
1717,33:48.3,3314,02:26.1,W 95 St & Broadway,40.7937704,3129,-73.971888,Queens Plaza North & Crescent St,40.75110165,-73.94073717,36147,Customer,1989,1
1519,35:10.8,497,00:30.2,E 17 St & Broadway,40.73704984,330,-73.99009296,Reade St & Broadway,40.71450451,-74.00562789,37827,Customer,1993,2
824,41:09.6,3164,54:54.4,Columbus Ave & W 72 St,40.7770575,367,-73.97898475,E 53 St & Lexington Ave,40.75828065,-73.97069431,36974,Subscriber,1983,1
2649,42:26.8,3571,26:36.2,Bedford Ave & Bergen St,40.676368,3673,-73.952918,Dean St & Franklin Ave,40.67759207,-73.95563722,36622,Subscriber,1986,2
996,44:33.2,494,01:10.1,W 26 St & 8 Ave,40.74734825,3163,-73.99723551,Central Park West & W 68 St,40.7734066,-73.97782542,36043,Subscriber,1970,1
1283,59:57.9,380,21:21.8,W 4 St & 7 Ave S,40.73401143,447,-74.00293877,8 Ave & W 52 St,40.76370739,-73.9851615,37009,Subscriber,1973,1
684,08:25.5,3852,19:49.5,Stewart Ave & Johnson Ave,40.70869,3774,-73.92587,Knickerbocker Ave & George St,40.704425,-73.92836,36147,Subscriber,1969,0
1082,11:57.5,3725,30:00.0,2 Ave & E 72 St,40.76876203,412,-73.95840794,Forsyth St & Canal St,40.7158155,-73.99422366,37751,Subscriber,1991,1
3816,34:07.9,403,37:44.2,E 2 St & 2 Ave,40.72502876,339,-73.99069656,Avenue D & E 12 St,40.72580614,-73.97422494,37544,Subscriber,1972,1
2528,38:04.0,466,20:12.8,W 25 St & 6 Ave,40.74395411,315,-73.99144871,South St & Gouverneur Ln,40.70355377,-74.00670227,36622,Subscriber,1992,1
1042,42:28.5,2008,59:50.8,Little West St & 1 Pl,40.70569254,150,-74.01677685,E 2 St & Avenue C,40.7208736,-73.98085795,37009,Subscriber,1956,1
1228,44:56.5,3002,05:25.0,South End Ave & Liberty St,40.711512,3637,-74.015756,Fulton St & Waverly Ave,40.68323865,-73.96599591,37827,Customer,1982,1
1426,49:01.5,500,12:48.0,Broadway & W 51 St,40.76228826,400,-73.98336183,Pitt St & Stanton St,40.71926081,-73.98178024,37420,Customer,1995,2
575,58:10.1,3815,07:45.4,E 51 St & 2 Ave,40.755293,367,-73.967641,E 53 St & Lexington Ave,40.75828065,-73.97069431,36974,Customer,1986,1
2320,00:36.7,440,39:17.4,E 45 St & 3 Ave,40.75255434,228,-73.97282625,E 48 St & 3 Ave,40.7546011,-73.97187886,36193,Subscriber,1986,1
655,09:03.6,3082,19:59.5,Hope St & Union Ave,40.71167351,3648,-73.95141312,Flushing Ave & Vanderbilt Ave,40.69795032,-73.9707756,36043,Subscriber,1983,2
397,18:45.5,3629,25:22.6,Adam Clayton Powell Blvd & W 126 St,40.80949535,3510,-73.94776493,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,37202,Customer,1986,1
1185,37:55.2,339,57:40.6,Avenue D & E 12 St,40.72580614,340,-73.97422494,Madison St & Clinton St,40.71269042,-73.98776323,37544,Subscriber,1985,2
1775,48:37.1,3328,18:13.1,W 100 St & Manhattan Ave,40.795,3302,-73.9645,Columbus Ave & W 103 St,40.7969347,-73.96434123,37751,Customer,1969,0
1870,53:13.9,3520,24:24.3,Adam Clayton Powell Blvd & W 118 St,40.804372,393,-73.951475,E 5 St & Avenue C,40.72299208,-73.97995466,36147,Subscriber,1980,1
2001,54:59.7,479,28:21.6,9 Ave & W 45 St,40.76019252,3236,-73.9912551,W 42 St & Dyer Ave,40.75898481,-73.99379969,36392,Subscriber,1990,1
40255,10:25.4,509,21:21.1,9 Ave & W 22 St,40.7454973,212,-74.00197139,W 16 St & The High Line,40.74334935,-74.00681753,37827,Customer,1990,1
1205,28:35.0,340,48:40.8,Madison St & Clinton St,40.71269042,344,-73.98776323,Monroe St & Bedford Ave,40.6851443,-73.95380904,37544,Customer,1993,1
380,39:09.2,3236,45:29.6,W 42 St & Dyer Ave,40.75898481,3699,-73.99379969,W 50 St & 9 Ave,40.76360468,-73.98917958,36392,Subscriber,1982,1
2090,48:39.7,393,23:30.1,E 5 St & Avenue C,40.72299208,302,-73.97995466,Avenue D & E 3 St,40.72082834,-73.97793172,36147,Subscriber,1990,2
1774,54:46.7,3699,24:21.4,W 50 St & 9 Ave,40.76360468,401,-73.98917958,Allen St & Rivington St,40.72019576,-73.98997825,36392,Subscriber,1982,1
449,06:45.4,3691,14:14.9,28 Ave & 44 St,40.76408932,3530,-73.91065121,Crescent St & Ditmars Blvd,40.7787185,-73.9145645,36559,Customer,1969,0
659,26:59.2,3593,37:58.9,31 St & Broadway,40.761584,3605,-73.925921,31 Ave & Crescent St,40.7658346,-73.9265474,36974,Subscriber,1990,1
169,33:13.4,3302,36:03.2,Columbus Ave & W 103 St,40.7969347,3343,-73.96434123,W 107 St & Columbus Ave,40.7997568,-73.96211287,37751,Subscriber,1982,1
859,45:02.5,302,59:22.2,Avenue D & E 3 St,40.72082834,302,-73.97793172,Avenue D & E 3 St,40.72082834,-73.97793172,36147,Subscriber,1990,2
1722,13:38.4,3544,42:20.8,Underhill Ave & Pacific St,40.6804836,494,-73.9646795,W 26 St & 8 Ave,40.74734825,-73.99723551,36043,Customer,1982,1
16740,19:06.6,3562,58:07.4,Classon Ave & St Marks Ave,40.6765198,3374,-73.9596082,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,37202,Subscriber,1984,1
3244,19:58.5,3749,14:03.3,Lexington Ave & E 36 St,40.74757396,3733,-73.97880077,Avenue C & E 18 St,40.730563,-73.973984,37544,Customer,1987,1
2206,20:48.8,3725,57:35.2,2 Ave & E 72 St,40.76876203,473,-73.95840794,Rivington St & Chrystie St,40.72110063,-73.9919254,37093,Subscriber,1979,1
345,24:34.9,3056,30:20.7,Kosciuszko St & Nostrand Ave,40.69072549,3571,-73.95133465,Bedford Ave & Bergen St,40.676368,-73.952918,36622,Subscriber,1997,1
2000,26:54.6,3502,00:14.6,Lexington Ave & E 111 St,40.7954121,3113,-73.9441232,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,36392,Subscriber,1986,1
1855,29:43.9,3755,00:39.8,DeKalb Ave & Franklin Ave,40.69064807,3571,-73.95746179,Bedford Ave & Bergen St,40.676368,-73.952918,36902,Customer,1989,1
1584,30:05.8,3604,56:30.3,Rogers Ave & Sterling St,40.6630619,3599,-73.9538746,Franklin Ave & Empire Blvd,40.66314,-73.9605695,37078,Subscriber,1995,1
6937,53:10.9,3770,48:48.2,Central Ave & Flushing Ave,40.702831,3756,-73.9333,White St & Moore St,40.704508,-73.9351,37870,Customer,1969,0
2117,55:24.3,3697,30:41.9,W 64 St & Thelonious Monk Circle,40.77515953,358,-73.98918696,Christopher St & Greenwich St,40.73291553,-74.00711384,36193,Subscriber,1968,1
