375,47:37.2,398,53:52.9,Atlantic Ave & Furman St,40.69165183,391,-73.9999786,Clark St & Henry St,40.69760127,-73.99344559,35084,Subscriber,1968,1
339,54:50.7,445,00:30.6,E 10 St & Avenue A,40.72740794,293,-73.98142006,Lafayette St & E 8 St,40.73020661,-73.99102628,34848,Subscriber,1978,1
357,55:56.4,447,01:53.7,8 Ave & W 52 St,40.76370739,3163,-73.9851615,Central Park West & W 68 St,40.7734066,-73.97782542,35327,Subscriber,1979,1
470,10:50.5,487,18:41.3,E 20 St & FDR Drive,40.73314259,497,-73.97573881,E 17 St & Broadway,40.73704984,-73.99009296,35327,Subscriber,1956,1
692,11:22.6,363,22:55.1,West Thames St,40.70834698,3435,-74.01713445,Grand St & Elizabeth St,40.718822,-73.99596,34362,Subscriber,1973,1
536,13:57.1,487,22:53.9,E 20 St & FDR Drive,40.73314259,435,-73.97573881,W 21 St & 6 Ave,40.74173969,-73.99415556,33890,Subscriber,1962,1
1598,06:22.8,3296,33:01.4,E 93 St & 2 Ave,40.78245418,492,-73.94891962,W 33 St & 7 Ave,40.75019995,-73.99093085,31853,Subscriber,1986,1
720,06:49.2,534,18:49.7,Water - Whitehall Plaza,40.70255065,426,-74.0127234,West St & Chambers St,40.71754834,-74.01322069,34820,Subscriber,1982,2
565,06:57.4,514,16:23.1,12 Ave & W 40 St,40.76087502,523,-74.00277668,W 38 St & 8 Ave,40.75466591,-73.99138152,34207,Subscriber,1985,1
495,15:01.5,3258,23:17.3,W 27 St & 10 Ave,40.75018156,402,-74.00218427,Broadway & E 22 St,40.7403432,-73.98955109,35084,Subscriber,1987,1
717,18:42.4,501,30:40.1,FDR Drive & E 35 St,40.744219,301,-73.97121214,E 2 St & Avenue B,40.72217444,-73.98368779,35327,Subscriber,1980,1
1005,13:58.2,3641,30:44.2,Broadway & W 25 St,40.74286877,296,-73.98918629,Division St & Bowery,40.71413089,-73.9970468,35095,Subscriber,1983,1
440,19:18.6,254,26:38.8,W 11 St & 6 Ave,40.73532427,347,-73.99800419,Greenwich St & W Houston St,40.728846,-74.008591,33890,Subscriber,1980,1
1296,25:26.0,305,47:02.8,E 58 St & 3 Ave,40.76095756,435,-73.96724467,W 21 St & 6 Ave,40.74173969,-73.99415556,34207,Subscriber,1952,1
311,25:41.3,174,30:52.8,E 25 St & 1 Ave,40.7381765,297,-73.97738662,E 15 St & 3 Ave,40.734232,-73.986923,35376,Subscriber,1969,1
887,27:03.9,403,41:51.2,E 2 St & 2 Ave,40.72502876,236,-73.99069656,St Marks Pl & 2 Ave,40.7284186,-73.98713956,35327,Subscriber,1983,1
735,28:08.4,3129,40:24.2,Queens Plaza North & Crescent St,40.75110165,3646,-73.94073717,35 Ave & 10 St,40.76315482,-73.9398551,31853,Subscriber,1969,1
