tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1577,41:04.6,07:22.1,401,Allen St & Rivington St,40.72019576,-73.98997825,512,W 29 St & 9 Ave,40.7500727,-73.99839279,52272,Customer,1970,0
322,45:47.2,51:10.0,515,W 43 St & 10 Ave,40.76009437,-73.99461843,450,W 49 St & 8 Ave,40.76227205,-73.98788205,35649,Customer,1970,0
332,14:26.6,19:58.7,512,W 29 St & 9 Ave,40.7500727,-73.99839279,453,W 22 St & 8 Ave,40.74475148,-73.99915362,52272,Subscriber,1968,1
148,27:06.1,29:34.6,453,W 22 St & 8 Ave,40.74475148,-73.99915362,435,W 21 St & 6 Ave,40.74173969,-73.99415556,52272,Customer,1970,0
832,31:06.1,44:58.6,450,W 49 St & 8 Ave,40.76227205,-73.98788205,4043,W 78 St & Amsterdam Ave,40.78253586,-73.97908509,35649,Customer,1970,0
226,50:56.1,54:42.2,435,W 21 St & 6 Ave,40.74173969,-73.99415556,3813,W 20 St & 10 Ave,40.745686,-74.005141,52272,Customer,1970,0
123,19:01.0,21:04.7,3813,W 20 St & 10 Ave,40.745686,-74.005141,116,W 17 St & 8 Ave,40.74177603,-74.00149746,52272,Customer,1970,0
502,03:14.6,11:37.4,4043,W 78 St & Amsterdam Ave,40.78253586,-73.97908509,3357,W 106 St & Amsterdam Ave,40.8008363,-73.96644925,35649,Customer,1970,0
942,18:31.1,34:13.2,3357,W 106 St & Amsterdam Ave,40.8008363,-73.96644925,3285,W 87 St & Amsterdam Ave,40.78839,-73.9747,35649,Customer,1970,0
5450,42:22.5,13:12.6,116,W 17 St & 8 Ave,40.74177603,-74.00149746,305,E 58 St & 3 Ave,40.76095756,-73.96724467,52272,Customer,1970,0
1649,36:21.8,03:51.2,3285,W 87 St & Amsterdam Ave,40.78839,-73.9747,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,35649,Customer,1970,0
927,04:12.1,19:39.1,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,3131,E 68 St & 3 Ave,40.7671284,-73.96224618,35649,Customer,1970,0
1158,14:32.6,33:51.4,305,E 58 St & 3 Ave,40.76095756,-73.96724467,3737,Stanton St & Norfolk St,40.720747,-73.986274,52272,Customer,1970,0
1658,39:12.9,06:51.7,3131,E 68 St & 3 Ave,40.7671284,-73.96224618,519,Pershing Square North,40.751873,-73.977706,35649,Customer,1970,0
72,40:37.7,41:50.6,519,Pershing Square North,40.751873,-73.977706,519,Pershing Square North,40.751873,-73.977706,35649,Customer,1970,0
1432,53:53.0,17:45.0,519,Pershing Square North,40.751873,-73.977706,510,W 51 St & 6 Ave,40.7606597,-73.98042047,35649,Customer,1970,0
3377,23:36.6,19:54.4,3443,W 52 St & 6 Ave,40.76132983,-73.97982001,3158,W 63 St & Broadway,40.77163851,-73.98261428,35649,Customer,1970,0
198,19:31.0,22:49.7,3737,Stanton St & Norfolk St,40.720747,-73.986274,307,Canal St & Rutgers St,40.71427487,-73.98990025,52272,Customer,1970,0
582,42:53.8,52:36.7,307,Canal St & Rutgers St,40.71427487,-73.98990025,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,52272,Subscriber,1977,1
742,06:05.5,18:27.5,443,Bedford Ave & S 9 St,40.70853074,-73.96408963,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,52272,Customer,1970,0
2039,38:45.4,12:45.4,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,3376,E 65 St & 2 Ave,40.76471852,-73.9622207,52272,Subscriber,1987,2
365,51:10.0,57:15.3,3376,E 65 St & 2 Ave,40.76471852,-73.9622207,3378,E 76 St & Park Ave,40.773763,-73.96222088,52272,Customer,1970,0
596,25:55.6,35:52.1,3378,E 76 St & Park Ave,40.773763,-73.96222088,3400,E 110 St & Madison Ave,40.7961535,-73.94782145,52272,Customer,1970,0
724,50:15.4,02:19.8,3158,W 63 St & Broadway,40.77163851,-73.98261428,490,8 Ave & W 33 St,40.751551,-73.993934,35649,Customer,1970,0
584,11:34.0,21:18.6,490,8 Ave & W 33 St,40.751551,-73.993934,461,E 20 St & 2 Ave,40.73587678,-73.98205027,35649,Customer,1970,0
448,26:06.6,33:34.7,461,E 20 St & 2 Ave,40.73587678,-73.98205027,302,Avenue D & E 3 St,40.72082834,-73.97793172,35649,Customer,1970,0
528,50:25.9,59:14.6,302,Avenue D & E 3 St,40.72082834,-73.97793172,312,Allen St & Stanton St,40.722055,-73.989111,35649,Customer,1970,0
1585,08:04.3,34:29.5,312,Allen St & Stanton St,40.722055,-73.989111,312,Allen St & Stanton St,40.722055,-73.989111,35649,Customer,1970,0
1361,13:52.0,36:33.6,3400,E 110 St & Madison Ave,40.7961535,-73.94782145,477,W 41 St & 8 Ave,40.75640548,-73.9900262,52272,Customer,1970,0
2170,18:03.0,54:13.9,312,Allen St & Stanton St,40.722055,-73.989111,326,E 11 St & 1 Ave,40.72953837,-73.98426726,35649,Customer,1970,0
